bird,syllables,bouts,expert_types,expert_ll,sound_ll,reclust_ll,ami,order2_gain,beats_expert,beats_sound
Bird0,7652,571,9,2.4114,2.5199,2.3555,0.817,0.1568,1,1
Bird1,35728,2500,12,2.1853,2.0925,2.0339,0.872,0.1372,1,1
Bird2,26127,1853,17,1.5694,1.5917,1.4512,0.889,0.0745,1,1
Bird3,29470,2109,9,2.6707,2.7009,2.5644,0.794,0.1161,1,1
Bird4,26891,1963,5,3.0516,3.1253,2.9674,0.742,0.1436,1,1
Bird5,20525,1494,7,2.3908,2.3794,2.2976,0.766,0.3422,1,1
Bird6,17653,1237,5,3.2317,3.2897,3.1307,0.713,0.054,1,1
Bird7,20722,1485,7,3.0315,3.0341,2.8661,0.775,0.298,1,1
Bird8,4985,418,4,3.2786,3.1877,3.0891,0.646,0.1075,1,1
Bird9,19541,1350,6,2.9636,3.0912,2.8896,0.873,0.2234,1,1
Bird10,5743,411,12,2.136,2.2124,2.0323,0.8,0.0311,1,1
